"FileId","RepoRelativePath","FileName","Extension","HasKidsSignal","HasRouteSignal","HasProgressSignal","HasGameSignal","Sha256","Status"
"KID-SRC-025","__BASELINE_BACKEND_PHASE5B5C_20260104_120421/daily-challenge/dailyChallengeRoutes.ts","dailyChallengeRoutes.ts",".ts","NO","NO","NO","YES","33B17A0F2D675D02F7482D696A80F517EECDDAAA8AC3D2A358EC42256754F763","DISCOVERED"
"KID-SRC-026","__BASELINE_BACKEND_PHASE5B5C_20260104_120421/data/progress.json","progress.json",".json","NO","NO","NO","YES","68E601E1D278E2C3692E99393BFF001D0094FF1BC89CC2532F3625C733CFE929","DISCOVERED"
"KID-SRC-027","__BASELINE_BACKEND_PHASE5B5C_20260104_120421/data/puzzleDifficulty.json","puzzleDifficulty.json",".json","NO","NO","NO","NO","B7DEE7A377B27897E626AD6B9B77E3DFE1CCD4FE4EEDE670518E1E2C6F349AA2","DISCOVERED"
"KID-SRC-028","__BASELINE_BACKEND_PHASE5B5C_20260104_120421/puzzles.json","puzzles.json",".json","NO","NO","NO","NO","38E44FF03166869281A0F09C38915342D9287802506B161D3F658FFE57F585C9","DISCOVERED"
"KID-SRC-029","__BASELINE_BACKEND_PHASE5B5C_20260104_120421/puzzles/_legacy/puzzles.json","puzzles.json",".json","NO","NO","NO","NO","38E44FF03166869281A0F09C38915342D9287802506B161D3F658FFE57F585C9","DISCOVERED"
"KID-SRC-030","__BASELINE_BACKEND_PHASE5B5C_20260104_120421/routes/progress.ts","progress.ts",".ts","NO","NO","YES","YES","AC539F6B00F83E4519AAF9C2373D57360E7F0D842EADD7E3B43172072C6649B5","DISCOVERED"
"KID-SRC-031","__BASELINE_BACKEND_PHASE5D_20260105_184300/_quarantine/server.backup.js","server.backup.js",".js","NO","NO","YES","NO","EB3ECBC444D777B3781B46C453A6008530580AE646EA997FA91ED6B34ED8C4EF","DISCOVERED"
"KID-SRC-032","__BASELINE_BACKEND_PHASE5D_20260105_184300/_quarantine/server.js","server.js",".js","NO","NO","YES","YES","2BEC214A3803B2A36DD91B22115C856790637EEF51F72223689C710886710F31","DISCOVERED"
"KID-SRC-033","__BASELINE_BACKEND_PHASE5D_20260105_184300/contentEngine.js","contentEngine.js",".js","NO","NO","NO","YES","9F133537B1C66C4AE4049068A053FE2EFF16722C67F56902D1AFCB8AF632C85B","DISCOVERED"
"KID-SRC-034","__BASELINE_BACKEND_PHASE5D_20260105_184300/daily-challenge/dailyChallengeEngine.ts","dailyChallengeEngine.ts",".ts","NO","NO","YES","YES","EFE1EDE83076DCD0DC0FFF9B33B82E150C58CEA8C9ED1623B46BDB6ED4772089","DISCOVERED"
