"FilePath","LineNumber","MatchType","RouteValue","Snippet"
"frontend/src/_legacy_js_backup_20251208/main.js","7","ROUTE_OR_NAVIGATION_REFERENCE","","const path = window.location.pathname;"
"frontend/src/_legacy_js_backup_20251208/main.js","9","ROUTE_OR_NAVIGATION_REFERENCE","","const isDailyRoute = path === ""/daily"" ||"
"frontend/src/_legacy_js_backup_20251208/main.js","10","ROUTE_OR_NAVIGATION_REFERENCE","","path === ""/daily/"" ||"
"frontend/src/_legacy_js_backup_20251208/main.js","11","ROUTE_OR_NAVIGATION_REFERENCE","","path === ""/app/daily"" ||"
"frontend/src/_legacy_js_backup_20251208/main.js","12","ROUTE_OR_NAVIGATION_REFERENCE","","path === ""/app/daily/"";"
"frontend/src/_legacy_js_backup_20251208/main.js","13","ROUTE_OR_NAVIGATION_REFERENCE","","ReactDOM.createRoot(document.getElementById(""root"")).render(_jsx(React.StrictMode, { children: isDailyRoute ? _jsx(DailyChallengeDetailPage, {}) : _jsx(App, {}) }));"
"frontend/src/api.ts","47","ROUTE_OR_NAVIGATION_REFERENCE","","function joinUrl(base: string, path: string): string {"
"frontend/src/api.ts","49","ROUTE_OR_NAVIGATION_REFERENCE","","const p = path.startsWith(""/"") ? path : `/${path}`;"
"frontend/src/api.ts","53","ROUTE_OR_NAVIGATION_REFERENCE","","export async function apiGet<T>(path: string, opts: RequestInit = {}): Promise<T> {"
"frontend/src/api.ts","61","ROUTE_OR_NAVIGATION_REFERENCE","","path: string,"
"frontend/src/App.tsx","1","ROUTE_OR_NAVIGATION_REFERENCE","","import { Link, Routes, Route, Navigate } from ""react-router-dom"";"
"frontend/src/App.tsx","14","ROUTE_OR_NAVIGATION_REFERENCE","/app/daily","<Link to=""/app/daily"">Daily UI</Link>"
"frontend/src/App.tsx","17","ROUTE_OR_NAVIGATION_REFERENCE","/app/progress","<Link to=""/app/progress"">Progress</Link>"
"frontend/src/App.tsx","27","ROUTE_OR_NAVIGATION_REFERENCE","","<Routes>"
"frontend/src/App.tsx","28","ROUTE_OR_NAVIGATION_REFERENCE","/","<Route path=""/"" element={<Home />} />"
"frontend/src/App.tsx","29","ROUTE_OR_NAVIGATION_REFERENCE","/app/daily","<Route path=""/app/daily"" element={<DailyChallengeDetailPage />} />"
"frontend/src/App.tsx","30","ROUTE_OR_NAVIGATION_REFERENCE","/app/progress","<Route path=""/app/progress"" element={<ProgressPage />} />"
"frontend/src/App.tsx","32","ROUTE_OR_NAVIGATION_REFERENCE","","{/* Option 6A: canonical Solve route */}"
